NÍVEL DE ESCOLARIDADE,FAMÍLIA,Ocupações em geral,ACADEMIA DA SAÚDE,CENTRAL DE REGUALAÇÃO,CENTRAL DE REGULAÇÃO MÉDICA DAS URGÊNCIAS,CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF,CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA,CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS,CENTRO DE PARTO NORMAL,CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE,CENTRAL DE NOTIF. CAPTAÇÃO E DISTR. ÓRGÃOS ESTADUA,CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO,CONSULTORIO,COOPERATIVA,FARMACIA,HOSPITAL ESPECIALIZADO,HOSPITAL GERAL,HOSPITAL DIA,LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN,LABORATORIO DE SAUDE PUBLICA,POLICLINICA,OFICINA ORTOPEDICA,POSTO DE SAUDE,PRONTO ANTEDIMENTO,PRONTO SOCORRO ESPECIALIZADO,PRONTO SOCORRO GERAL,SECRETARIA DE SAUDE,SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE),UNIDADE DE ATENÇÃO À SAÚDE INDÍGENA,UNIDADE DE ATENCAO EM REGIME RESIDENCIAL,UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA,UNIDADE DE VIGILANCIA EM SAUDE,UNIDADE MISTA,UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI,UNIDADE MOVEL FLUVIAL,UNIDADE MOVEL TERRESTRE,TELESAÚDE,Total
PESSOAL DE SAÚDE - NÍVEL SUPERIOR, ENFERMEIRO,Enfermeiro psiquiátrico,-,-,-,-,-,66,-,3,-,15,-,-,-,132,55,3,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,275
PESSOAL DE SAÚDE - NÍVEL SUPERIOR, ENFERMEIRO,Enfermeiro puericultor e pediátrico,-,-,-,-,2,-,-,3,-,1,1,-,-,21,115,-,-,-,2,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,146
PESSOAL DE SAÚDE - NÍVEL SUPERIOR, ENFERMEIRO,Enfermeiro sanitarista,3,3,-,4,3,-,-,35,1,22,3,-,-,10,63,-,-,-,23,-,1,4,-,2,245,1,1,-,4,126,2,-,-,-,4,560
PESSOAL DE SAÚDE - NÍVEL SUPERIOR, FISIOTERAPEUTA,,397,25,2,1179,33,115,-,9361,59,24560,6610,397,4,3485,22668,173,-,-,4128,8,248,261,255,254,310,515,5,1,3827,28,309,4,-,16,3,79240
PESSOAL DE SAÚDE - NÍVEL SUPERIOR, FISIOTERAPEUTA,Fisioterapeuta do trabalho,-,-,-,-,-,-,-,1,-,21,18,2,-,2,13,-,-,-,1,-,-,1,-,1,1,6,-,-,1,-,-,-,-,-,-,68
PESSOAL DE SAÚDE - NÍVEL SUPERIOR, FISIOTERAPEUTA,Fisioterapeuta acupunturista,1,-,-,2,-,-,-,25,-,158,105,-,-,1,14,-,-,-,37,-,1,1,-,1,1,2,-,-,18,-,1,-,-,-,-,368
PESSOAL DE SAÚDE - NÍVEL SUPERIOR, FISIOTERAPEUTA,Fisioterapeuta esportivo,-,-,-,-,-,-,-,1,-,13,10,-,-,3,10,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,39
PESSOAL DE SAÚDE - NÍVEL SUPERIOR, FISIOTERAPEUTA,Fisioterapeuta geral,396,25,2,1176,33,115,-,9319,59,24125,6333,395,4,3427,22222,171,-,-,4049,8,247,258,254,251,306,501,5,1,3750,28,308,4,-,16,3,77791
PESSOAL DE SAÚDE - NÍVEL SUPERIOR, FISIOTERAPEUTA,Fisioterapeuta neurofuncional,-,-,-,1,-,-,-,4,-,48,20,-,-,7,8,-,-,-,14,-,-,-,1,-,1,1,-,-,16,-,-,-,-,-,-,121
PESSOAL DE SAÚDE - NÍVEL SUPERIOR, FISIOTERAPEUTA,Fisioterapeuta osteopata,-,-,-,-,-,-,-,-,-,15,8,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,30
PESSOAL DE SAÚDE - NÍVEL SUPERIOR, FISIOTERAPEUTA,Fisioterapeuta quiropraxista,-,-,-,-,-,-,-,1,-,6,8,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16
PESSOAL DE SAÚDE - NÍVEL SUPERIOR, FISIOTERAPEUTA,Fisioterapeuta respiratório,-,-,-,-,-,-,-,2,-,46,16,-,-,40,348,2,-,-,12,-,-,-,-,1,1,3,-,-,5,-,-,-,-,-,-,476
PESSOAL DE SAÚDE - NÍVEL SUPERIOR, FISIOTERAPEUTA,Fisioterapeuta traumato-ortopédica funcional,-,-,-,-,-,-,-,8,-,128,92,-,-,5,52,-,-,-,12,-,-,1,-,-,-,1,-,-,32,-,-,-,-,-,-,331
PESSOAL DE SAÚDE - NÍVEL SUPERIOR, FONOAUDIÓLOGO,,13,20,-,381,1,211,-,2908,7,7194,3208,54,-,816,3922,74,1,-,2047,-,67,41,16,46,117,136,-,-,597,12,51,2,-,14,2,21958
PESSOAL DE SAÚDE - NÍVEL SUPERIOR, FONOAUDIÓLOGO,Fonoaudiólogo,13,20,-,381,1,211,-,2908,7,7194,3208,54,-,816,3922,74,1,-,2047,-,67,41,16,46,117,136,-,-,597,12,51,2,-,14,2,21958
PESSOAL DE SAÚDE - NÍVEL SUPERIOR, FONOAUDIÓLOGO, GINECO OBSTETRA,-,52,1,14,1,-,-,2260,7,1965,2474,434,3,2217,10125,83,-,1,1348,-,52,39,95,41,76,-,-,-,391,5,85,3,-,4,1,21777
PESSOAL DE SAÚDE - NÍVEL SUPERIOR, FONOAUDIÓLOGO,Médico Ginecologista e Obstetra,-,52,1,14,1,-,-,2260,7,1965,2474,434,3,2217,10125,83,-,1,1348,-,52,39,95,41,76,-,-,-,391,5,85,3,-,4,1,21777
PESSOAL DE SAÚDE - NÍVEL SUPERIOR, FONOAUDIÓLOGO, MÉDICO DE FAMÍLIA,-,13,1,1,-,1,-,25245,-,90,49,5,-,16,119,2,-,-,71,-,1810,18,-,4,52,2,17,-,4,1,22,-,19,1,12,27575
PESSOAL DE SAÚDE - NÍVEL SUPERIOR, FONOAUDIÓLOGO,Médico da estratégia de Saúde da Família,-,7,1,-,-,1,-,24933,-,9,7,1,-,4,25,1,-,-,16,-,1783,10,-,1,39,-,-,-,3,-,22,-,19,1,-,26883
PESSOAL DE SAÚDE - NÍVEL SUPERIOR, FONOAUDIÓLOGO,Médico de família e comunidade,-,6,-,1,-,-,-,312,-,81,42,4,-,12,94,1,-,-,55,-,27,8,-,3,13,2,17,-,1,1,-,-,-,-,12,692
PESSOAL DE SAÚDE - NÍVEL SUPERIOR, NUTRICIONISTA,,112,19,1,873,21,172,2,6127,33,3359,3155,62,10,1882,10085,116,13,15,1694,-,148,207,98,122,619,104,97,4,280,194,202,-,-,8,2,29836
PESSOAL DE SAÚDE - NÍVEL SUPERIOR, NUTRICIONISTA,Nutricionista,112,19,1,873,21,172,2,6127,33,3359,3155,62,10,1882,10085,116,13,15,1694,-,148,207,98,122,619,104,97,4,280,194,202,-,-,8,2,29836
PESSOAL DE SAÚDE - NÍVEL SUPERIOR, ODONTÓLOGO,,-,86,-,13,34,14,-,34389,30,23204,57581,533,10,777,5818,182,-,4,3807,-,2684,1268,83,227,1328,6,317,-,1388,234,294,-,27,559,17,134914
PESSOAL DE SAÚDE - NÍVEL SUPERIOR, ODONTÓLOGO,Cirurgião dentista - auditor,-,14,-,-,-,-,-,1,-,19,23,1,-,1,7,-,-,-,7,-,1,-,-,-,81,-,-,-,1,2,-,-,-,-,-,158
PESSOAL DE SAÚDE - NÍVEL SUPERIOR, ODONTÓLOGO,Cirurgião dentista - clínico geral,-,60,-,11,26,9,-,12111,11,14167,48199,429,7,535,3087,148,-,2,2671,-,900,1220,51,192,1073,4,280,-,842,192,233,-,9,488,13,86970
PESSOAL DE SAÚDE - NÍVEL SUPERIOR, ODONTÓLOGO,Cirurgião dentista - dentística,-,-,-,-,-,1,-,62,1,351,653,6,-,12,104,2,-,-,62,-,4,3,1,4,17,-,26,-,18,6,7,-,-,10,1,1351
PESSOAL DE SAÚDE - NÍVEL SUPERIOR, ODONTÓLOGO,Cirurgião dentista - disfunção temporomandibular e,-,-,-,-,-,-,-,-,-,7,7,-,-,-,2,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19
PESSOAL DE SAÚDE - NÍVEL SUPERIOR, ODONTÓLOGO,Cirurgião dentista - endodontista,-,2,-,-,3,-,-,140,3,2195,1837,27,1,7,185,9,-,-,215,-,4,18,-,1,14,1,2,-,41,1,8,-,-,9,-,4723
PESSOAL DE SAÚDE - NÍVEL SUPERIOR, ODONTÓLOGO,Cirurgião dentista - epidemiologista,-,-,-,-,-,-,-,1,-,5,-,-,-,-,3,-,-,-,-,-,-,-,-,-,6,-,-,-,-,2,-,-,-,-,-,17
PESSOAL DE SAÚDE - NÍVEL SUPERIOR, ODONTÓLOGO,Cirurgião dentista - estomatologista,-,-,-,-,1,-,-,5,-,205,14,-,-,14,40,-,-,-,20,-,-,1,-,-,-,-,-,-,3,-,-,-,-,-,-,303
PESSOAL DE SAÚDE - NÍVEL SUPERIOR, ODONTÓLOGO,Cirurgião dentista - implantodontista,-,-,-,-,-,-,-,-,2,314,599,3,-,7,45,4,-,-,47,-,-,-,-,-,-,-,-,-,9,-,-,-,-,1,-,1031
PESSOAL DE SAÚDE - NÍVEL SUPERIOR, ODONTÓLOGO,Cirurgião dentista - odontogeriatra,-,-,-,-,-,-,-,1,-,16,15,-,-,-,5,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,38
PESSOAL DE SAÚDE - NÍVEL SUPERIOR, ODONTÓLOGO,Cirurgião dentista - odontologia do trabalho,-,3,-,-,-,-,-,3,1,10,32,-,-,-,14,-,-,-,6,-,-,1,-,-,4,-,1,-,1,1,-,-,-,-,-,77
PESSOAL DE SAÚDE - NÍVEL SUPERIOR, ODONTÓLOGO,Cirurgião dentista - odontologia para pacientes co,-,-,-,-,1,-,-,16,-,462,22,1,-,20,50,3,-,-,22,-,-,2,-,2,2,-,1,-,5,-,1,-,-,-,-,610
PESSOAL DE SAÚDE - NÍVEL SUPERIOR, ODONTÓLOGO,Cirurgião dentista - odontologista legal,-,3,-,1,-,-,-,17,-,44,246,-,-,13,61,-,-,-,17,-,3,2,-,2,5,-,4,-,4,-,2,-,-,1,-,425
PESSOAL DE SAÚDE - NÍVEL SUPERIOR, ODONTÓLOGO,Cirurgião dentista - odontopediatra,-,1,-,-,-,1,-,113,1,672,904,6,-,38,125,3,-,-,137,-,7,5,2,-,3,-,-,-,13,-,1,-,-,6,1,2039
PESSOAL DE SAÚDE - NÍVEL SUPERIOR, ODONTÓLOGO,Cirurgião dentista - ortopedista e ortodontista,-,-,-,-,-,-,-,21,4,1290,2504,24,-,21,115,4,-,-,165,-,-,-,-,-,5,-,-,-,23,-,1,-,-,1,-,4178
PESSOAL DE SAÚDE - NÍVEL SUPERIOR, ODONTÓLOGO,Cirurgião dentista - patologista bucal,-,-,-,-,-,-,-,3,-,92,63,-,-,-,37,-,-,-,18,-,-,1,-,-,-,-,-,-,9,-,-,-,-,-,-,223
PESSOAL DE SAÚDE - NÍVEL SUPERIOR, ODONTÓLOGO,Cirurgião dentista - periodontista,-,-,-,-,-,-,-,48,1,1162,904,11,1,7,97,1,-,-,127,-,3,5,-,-,5,-,-,-,15,-,5,-,-,2,-,2394
PESSOAL DE SAÚDE - NÍVEL SUPERIOR, ODONTÓLOGO,Cirurgião dentista - protesista,-,-,-,1,-,1,-,77,2,987,757,13,-,6,120,2,-,1,123,-,5,-,1,1,5,-,-,-,101,-,2,-,-,1,-,2206
PESSOAL DE SAÚDE - NÍVEL SUPERIOR, ODONTÓLOGO,Cirurgião dentista - protesiólogo bucomaxilofacial,-,-,-,-,-,-,-,2,-,69,76,2,-,8,116,1,-,-,6,-,-,1,-,1,-,-,-,-,1,-,1,-,-,-,-,284
PESSOAL DE SAÚDE - NÍVEL SUPERIOR, ODONTÓLOGO,Cirurgião dentista - radiologista,-,-,-,-,-,-,-,27,-,419,377,-,-,7,50,-,-,-,39,-,2,1,3,1,1,1,-,-,282,-,-,-,-,-,-,1210
PESSOAL DE SAÚDE - NÍVEL SUPERIOR, ODONTÓLOGO,Cirurgião dentista - reabilitador oral,-,-,-,-,-,-,-,-,-,15,22,-,-,-,3,-,-,-,8,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,49
PESSOAL DE SAÚDE - NÍVEL SUPERIOR, ODONTÓLOGO,Cirurgião dentista - traumatologista bucomaxilofac,-,-,-,-,1,-,-,37,4,595,251,10,-,76,1527,5,-,-,68,-,-,5,25,21,1,-,-,-,8,2,7,-,-,1,-,2644
PESSOAL DE SAÚDE - NÍVEL SUPERIOR, ODONTÓLOGO,Cirurgião dentista de saúde coletiva,-,2,-,-,2,1,-,79,-,85,54,-,-,2,23,-,-,1,35,-,7,2,-,2,41,-,3,-,9,26,-,-,-,-,1,375
PESSOAL DE SAÚDE - NÍVEL SUPERIOR, ODONTÓLOGO,Cirurgião-dentista da estratégia de saúde da família,-,1,-,-,-,1,-,21625,-,23,22,-,1,3,2,-,-,-,11,-,1748,-,-,-,65,-,-,-,2,2,26,-,18,39,1,23590
PESSOAL DE SAÚDE - NÍVEL SUPERIOR, PEDIATRA,,-,125,6,31,26,24,2,4599,32,1968,3103,694,2,3723,18844,95,-,-,1714,-,144,2662,290,640,263,12,1,-,109,48,206,18,-,10,3,39394
PESSOAL DE SAÚDE - NÍVEL SUPERIOR, PEDIATRA,Médico Pediatra,-,125,6,31,26,24,2,4599,32,1968,3103,694,2,3723,18844,95,-,-,1714,-,144,2662,290,640,263,12,1,-,109,48,206,18,-,10,3,39394
PESSOAL DE SAÚDE - NÍVEL SUPERIOR, PSICÓLOGO,,49,32,3,999,49,6216,-,9610,33,13176,17766,188,3,2347,6899,201,-,2,3958,1,358,100,57,86,593,67,57,56,881,52,167,3,-,9,1,64019
PESSOAL DE SAÚDE - NÍVEL SUPERIOR, PSICÓLOGO,Psicólogo Clínico,43,29,3,998,42,6192,-,9528,28,12893,17379,187,3,1824,5414,197,-,2,3891,1,353,96,36,76,560,65,51,52,854,45,161,1,-,8,1,61013
PESSOAL DE SAÚDE - NÍVEL SUPERIOR, PSICÓLOGO,Psicólogo do Esporte,2,-,-,-,-,-,-,1,-,7,5,-,-,1,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,18
PESSOAL DE SAÚDE - NÍVEL SUPERIOR, PSICÓLOGO,Psicólogo do Trabalho,-,3,-,-,4,1,-,1,1,46,35,-,-,19,107,-,-,-,5,-,-,1,1,1,14,-,-,-,7,1,-,1,-,-,-,248
PESSOAL DE SAÚDE - NÍVEL SUPERIOR, PSICÓLOGO,Psicólogo Social,3,-,-,1,1,17,-,56,-,64,90,-,-,17,26,-,-,-,26,-,3,1,-,-,8,1,6,1,2,6,4,-,-,-,-,333
PESSOAL DE SAÚDE - NÍVEL SUPERIOR, PSICÓLOGO,Psicólogo Educacional,-,-,-,-,-,3,-,12,-,68,110,1,-,5,11,1,-,-,13,-,1,1,-,-,4,-,-,3,11,-,-,-,-,-,-,244
PESSOAL DE SAÚDE - NÍVEL SUPERIOR, PSICÓLOGO,Psicólogo Hospitalar,-,-,-,-,2,3,-,5,4,23,31,-,-,480,1339,3,-,-,10,-,-,1,20,8,2,1,-,-,4,-,2,1,-,-,-,1939
PESSOAL DE SAÚDE - NÍVEL SUPERIOR, PSICÓLOGO,Psicólogo Juridico,-,-,-,-,-,-,-,7,-,5,16,-,-,1,-,-,-,-,1,-,1,-,-,-,2,-,-,-,1,-,-,-,-,1,-,35
PESSOAL DE SAÚDE - NÍVEL SUPERIOR, PSICÓLOGO,Psicólogo do trânsito,-,-,-,-,-,-,-,-,-,56,67,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,130
PESSOAL DE SAÚDE - NÍVEL SUPERIOR, PSICÓLOGO,Psicólogo acupunturista,1,-,-,-,-,-,-,-,-,14,33,-,-,-,2,-,-,-,6,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,59
PESSOAL DE SAÚDE - NÍVEL SUPERIOR, PSIQUIATRA,,-,9,4,17,-,1424,-,606,2,1027,1459,31,3,1160,1800,35,-,-,549,-,8,42,9,36,35,-,1,1,36,1,23,-,-,-,1,8319
PESSOAL DE SAÚDE - NÍVEL SUPERIOR, PSIQUIATRA,Médico psiquiatra,-,9,4,17,-,1424,-,606,2,1027,1459,31,3,1160,1800,35,-,-,549,-,8,42,9,36,35,-,1,1,36,1,23,-,-,-,1,8319
PESSOAL DE SAÚDE - NÍVEL SUPERIOR, RADIOLOGISTA,,-,4,-,3,1,-,-,131,8,1821,245,17,-,684,5080,80,-,1,783,-,1,61,38,50,4,2,-,-,2926,-,42,-,-,29,28,12039
PESSOAL DE SAÚDE - NÍVEL SUPERIOR, RADIOLOGISTA,Médico em radiologia e diagnóstico por imagem,-,4,-,3,1,-,-,131,8,1821,245,17,-,684,5080,80,-,1,783,-,1,61,38,50,4,2,-,-,2926,-,42,-,-,29,28,12039
PESSOAL DE SAÚDE - NÍVEL SUPERIOR, SANITARISTA,,-,13,-,-,1,1,-,27,1,14,21,-,-,22,70,-,-,2,8,-,2,1,1,1,85,-,-,-,1,48,-,-,-,-,-,319
PESSOAL DE SAÚDE - NÍVEL SUPERIOR, SANITARISTA,Médico sanitarista,-,13,-,-,1,1,-,27,1,14,21,-,-,22,70,-,-,2,8,-,2,1,1,1,85,-,-,-,1,48,-,-,-,-,-,319
PESSOAL DE SAÚDE - NÍVEL SUPERIOR, OUTRAS ESPECIALIDADES MÉDICAS,,-,134,17,9,127,95,-,1891,134,19920,15247,1398,17,11852,83555,2070,6,20,9674,-,75,472,489,557,237,81,1,-,3307,51,245,66,-,79,13,151839
PESSOAL DE SAÚDE - NÍVEL SUPERIOR, OUTRAS ESPECIALIDADES MÉDICAS,Médico acupunturista,-,-,-,-,1,4,-,72,-,362,701,13,-,35,190,15,-,-,187,-,1,-,1,1,1,2,-,-,12,-,3,1,-,-,-,1602
PESSOAL DE SAÚDE - NÍVEL SUPERIOR, OUTRAS ESPECIALIDADES MÉDICAS,Médico alergista e imunologista,-,2,-,-,-,-,-,19,1,315,449,17,-,64,423,13,-,-,250,-,1,7,-,4,1,4,-,-,17,-,1,1,-,-,1,1590
PESSOAL DE SAÚDE - NÍVEL SUPERIOR, OUTRAS ESPECIALIDADES MÉDICAS,Médico anatomopatologista,-,-,-,-,1,-,-,3,2,81,14,3,-,153,601,2,3,6,30,-,-,3,5,1,12,-,-,-,606,-,2,-,-,-,-,1528
PESSOAL DE SAÚDE - NÍVEL SUPERIOR, OUTRAS ESPECIALIDADES MÉDICAS,Médico angiologista,-,1,-,-,-,-,-,28,1,500,531,105,-,118,1238,53,-,-,323,-,2,5,2,5,1,2,-,-,73,-,8,-,-,-,-,2996
PESSOAL DE SAÚDE - NÍVEL SUPERIOR, OUTRAS ESPECIALIDADES MÉDICAS,Médico broncoesofalogista,-,-,-,-,-,-,-,-,1,8,5,1,-,8,113,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,142
PESSOAL DE SAÚDE - NÍVEL SUPERIOR, OUTRAS ESPECIALIDADES MÉDICAS,Médico Cardiologista Intervencionista,-,1,-,-,1,-,-,-,7,48,15,13,-,68,613,9,-,-,10,-,-,2,-,-,-,-,-,-,25,-,-,8,-,1,-,821
