Código do Termo;Termo;Data de início de vigência;Data de fim de vigência;Data de fim de implementação
225125;Médico clínico;10/10/2012;;31/08/2014
225127;Médico pneumologista;10/10/2012;;31/08/2014
225130;Médico de família e comunidade;10/10/2012;;31/08/2014
225133;Médico psiquiatra;10/10/2012;;31/08/2014
225135;Médico dermatologista;10/10/2012;;31/08/2014
225136;Médico reumatologista;10/10/2012;;31/08/2014
225139;Médico sanitarista;10/10/2012;;31/08/2014
225140;Médico do trabalho;10/10/2012;;31/08/2014
225142;Médico da estratégia de saúde da família;01/12/2013;;31/08/2014
225145;Médico em medicina de tráfego;10/10/2012;;31/08/2014
225148;Médico anatomopatologista;10/10/2012;;31/08/2014
225150;Médico em medicina intensiva;10/10/2012;;31/08/2014
225151;Médico anestesiologista;01/12/2013;;31/08/2014
225155;Médico endocrinologista e metabologista;10/10/2012;;31/08/2014
225160;Médico fisiatra;10/10/2012;;31/08/2014
225165;Médico gastroenterologista;10/10/2012;;31/08/2014
225170;Médico generalista;10/10/2012;;31/08/2014
225175;Médico geneticista;10/10/2012;;31/08/2014
225180;Médico geriatra;10/10/2012;;31/08/2014
225185;Médico Hematologista;10/10/2012;;31/08/2014
225195;Médico Homeopata;10/10/2012;;31/08/2014
225203;Médico em cirurgia vascular;01/12/2013;;31/08/2014
225210;Médico cirurgião cardiovascular;10/10/2012;;31/08/2014
225215;Médico cirurgião de cabeça e pescoço;10/10/2012;;31/08/2014
225220;Médico cirurgião do aparelho digestivo;10/10/2012;;31/08/2014
225225;Médico cirurgião geral;10/10/2012;;31/08/2014
225230;Médico cirurgião pediátrico;10/10/2012;;31/08/2014
225235;Médico cirurgião plástico;10/10/2012;;31/08/2014
225240;Médico cirurgião torácico;10/10/2012;;31/08/2014
225250;Médico ginecologista e obstetra;10/10/2012;;31/08/2014
225255;Médico Mastologista;10/10/2012;;31/08/2014
225260;Médico neurocirurgião;10/10/2012;;31/08/2014
225265;Médico oftalmologista;10/10/2012;;31/08/2014
225270;Médico ortopedista e traumatologista;10/10/2012;;31/08/2014
225275;Médico otorrinolaringologista;10/10/2012;;31/08/2014
225280;Médico proctologista;10/10/2012;;31/08/2014
225285;Médico urologista;10/10/2012;;31/08/2014
225290;Médico cancerologista cirúrgico;01/12/2013;;31/08/2014
225295;Médico cirurgião da mão;01/12/2013;;31/08/2014
225305;Médico citopatologista;10/10/2012;;31/08/2014
225310;Médico em endoscopia;10/10/2012;;31/08/2014
225315;Médico em medicina nuclear;10/10/2012;;31/08/2014
225320;Médico em radiologia e diagnóstico por imagem;10/10/2012;;31/08/2014
225325;Médico patologista;01/12/2013;;31/08/2014
225330;Médico radioterapeuta;10/10/2012;;31/08/2014
225335;Médico patologista clínico / medicina laboratorial;01/12/2013;;31/08/2014
225340;Médico hemoterapeuta;01/12/2013;;31/08/2014
225345;Médico hiperbarista;01/12/2013;;31/08/2014
225350;Médico neurofisiologista;10/10/2012;;31/08/2014
239425;Psicopedagogo;26/09/2008;;26/09/2008
251510;Psicólogo clínico;26/09/2008;;26/09/2008
251545;Neuropsicólogo;26/09/2008;;26/09/2008
251550;Psicanalista;26/09/2008;;26/09/2008
251605;Assistente social;26/09/2008;;26/09/2008
322205;Técnico de enfermagem;26/09/2008;;26/09/2008
322220;Técnico de enfermagem psiquiátrica;26/09/2008;;26/09/2008
322225;Instrumentador cirúrgico;26/09/2008;;26/09/2008
322230;Auxiliar de enfermagem;26/09/2008;;26/09/2008
516210;Cuidador de idosos;26/09/2008;;26/09/2008
223435;Farmacêutico industrial;01/06/2016;;30/11/2016
223430;Farmacêutico em saúde pública;01/06/2016;;30/11/2016
223415;Farmacêutico analista clínico;01/06/2016;;30/11/2016
223405;Farmacêutico;01/06/2016;;30/11/2016
223420;Farmacêutico de alimentos;01/06/2016;;30/11/2016
223440;Farmacêutico toxicologista;01/06/2016;;30/11/2016
223445;Farmacêutico hospitalar e clínico;01/06/2016;;30/11/2016
223425;Farmacêutico práticas integrativas e complementares;01/06/2016;;30/11/2016
223565;Enfermeiro da estratégia de saúde da família;01/06/2016;;30/11/2016
223560;Enfermeiro sanitarista;01/06/2016;;30/11/2016
223555;Enfermeiro puericultor e pediátrico;01/06/2016;;30/11/2016
223550;Enfermeiro psiquiátrico;01/06/2016;;30/11/2016
223545;Enfermeiro obstétrico;01/06/2016;;30/11/2016
223540;Enfermeiro neonatologista;01/06/2016;;30/11/2016
223535;Enfermeiro nefrologista;01/06/2016;;30/11/2016
223530;Enfermeiro do trabalho;01/06/2016;;30/11/2016
223525;Enfermeiro de terapia intensiva;01/06/2016;;30/11/2016
223520;Enfermeiro de centro cirúrgico;01/06/2016;;30/11/2016
223515;Enfermeiro de bordo;01/06/2016;;30/11/2016
223510;Enfermeiro auditor;01/06/2016;;30/11/2016
223570;Perfusionista;01/06/2016;;30/11/2016
223705;Dietista;01/06/2016;;30/11/2016
223845;Fonoaudiólogo em voz;01/06/2016;;30/11/2016
223830;Fonoaudiólogo em linguagem;01/06/2016;;30/11/2016
223825;Fonoaudiólogo em disfagia;01/06/2016;;30/11/2016
223835;Fonoaudiólogo em motricidade orofacial;01/06/2016;;30/11/2016
223840;Fonoaudiólogo em saúde coletiva;01/06/2016;;30/11/2016
223820;Fonoaudiólogo em audiologia;01/06/2016;;30/11/2016
223815;Fonoaudiólogo educacional;01/06/2016;;30/11/2016
225154;Médico antroposófico;01/06/2016;;30/11/2016
999999;CBO do prestador solicitante desconhecido ou não informado;01/03/2019;;31/08/2014
